Code barre,Nom,Categorie 1,Coût,Prix de vente,Prix HT,Categorie 2,fournisseur/ID,Marque,Type d'article,Catégorie d'article/ID,Disponible dans le PdV,Taxes à la vente/ID,Catégorie du point de vente/ID
5425000262732,CANARD COMPLET 1KG,ALIMENTATION,1.95,3.5,2.8926,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262749,CANARD COMPLET 200G,ALIMENTATION,0.51,0.95,0.7851,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262756,CANARD COMPLET 500G,ALIMENTATION,1.1,1.9,1.5702,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262794,DINDE COMPLET 1KG,ALIMENTATION,1.95,3.5,2.8926,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262817,DINDE COMPLET 200G,ALIMENTATION,0.51,0.95,0.7851,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262800,DINDE COMPLET 500G,ALIMENTATION,1.1,1.9,1.5702,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262657,DINDE POISSON 1KG,ALIMENTATION,1.95,3.5,2.8926,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262671,DINDE POISSON 200G,ALIMENTATION,0.51,0.95,0.7851,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5425000262664,DINDE POISSON 500G,ALIMENTATION,1.1,1.9,1.5702,CONGELE,sup_degomeat,Degomeat,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545111003,DUCK FOOD BEEF COMPLETE 1KG,ALIMENTATION,2.35,5,4.1322,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545121002,DUCK FOOD BEEF LIVER CHICKEN COMPLET 1KG,ALIMENTATION,2.27,3.95,3.2645,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545060028,DUCK FOOD BEEF NUGGETS 400G,ALIMENTATION,1.08,2.1,1.7355,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545266000,DUCK FOOD BREEDER EXCELLENT COMPLET 8KG,ALIMENTATION,15.68,26.56,21.9504,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545286008,DUCK FOOD BREEDER LAMB AND RICE 8KG,ALIMENTATION,16.96,28.73,23.7438,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545001014,DUCK FOOD CHICKEN RICE X APPLE SAUCISSE 200G,ALIMENTATION,0.41,0.75,0.6198,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545051002,DUCK FOOD DYNAMIC COMPLET 1KG,ALIMENTATION,2.42,5,4.1322,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545091008,DUCK FOOD EXCELLENT COMPLET 1KG,ALIMENTATION,2.27,4.75,3.9256,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545041003,DUCK FOOD LAMB AND RICE 1KG,ALIMENTATION,2.42,5,4.1322,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545060035,DUCK FOOD LAMB X QUINOA 400G,ALIMENTATION,,2.8,2.314,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545081009,DUCK FOOD PANCREAS COMPLET 1KG,ALIMENTATION,3.3,6.35,5.2479,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545011006,DUCK FOOD THERAPY COMPLET 1KG,ALIMENTATION,3.3,6.35,5.2479,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545101004,DUCK FOOD TRIPE PENS COMPLETE 1KG,ALIMENTATION,2.27,4.2,3.4711,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545060011,DUCK FOOD TURKEY NUGGETS 400G,ALIMENTATION,0.99,1.95,1.6116,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5410545001021,DUCKFOOD BEEF X VEGETABLES SAUCISSE 200G,ALIMENTATION,0.44,0.8,0.6612,CONGELE,sup_duck_food,Duck Food,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5420070901031,JOLIPET CHAT BOEUF 600G,ALIMENTATION,,4.4,3.6364,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_congele
5420070901048,JOLIPET CHAT DINDE 600G,ALIMENTATION,,4.4,3.6364,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_congele
5420070901055,JOLIPET CHAT SAUMON ET DINDE 600G,ALIMENTATION,,4.75,3.9256,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_congele
5420070901062,JOLIPET CHATON BEEF 600G,ALIMENTATION,,4.4,3.6364,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_congele
5420070901697,JOLIPET CHIEN BOEUF 750G,ALIMENTATION,,4.25,3.5124,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5420070901680,JOLIPET CHIEN CHEVAL 750G,ALIMENTATION,,4.75,3.9256,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5420070901703,JOLIPET CHIEN POULET 750G,ALIMENTATION,,4.25,3.5124,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5420070901710,JOLIPET CHIEN SAUMON ET DINDE 750G,ALIMENTATION,,4.75,3.9256,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
5420070901727,JOLIPET CHIOT CHEVAL 600G,ALIMENTATION,,3.95,3.2645,CONGELE,sup_flamingo,Flamingo,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_congele
