Name,id,parent category/id,Sequence
Croquettes,cat_chien_alimentation_croquettes,cat_chien_alimentation,20
Humide,cat_chien_alimentation_humide,cat_chien_alimentation,40
Congele,cat_chien_alimentation_congele,cat_chien_alimentation,60
Friandises,cat_chien_alimentation_friandises,cat_chien_alimentation,80
Complements alimentaire,cat_chien_parapharmacie_complements_alimentaire,cat_chien_parapharmacie,100
Usage unique,cat_chien_parapharmacie_usage_unique,cat_chien_parapharmacie,120
Back on Track,cat_chien_parapharmacie_back_on_track,cat_chien_parapharmacie,140
Equipement medical,cat_chien_parapharmacie_equipement_medical,cat_chien_parapharmacie,160
Laisses,cat_chien_sellerie_laisses,cat_chien_sellerie,180
Harnais,cat_chien_sellerie_harnais,cat_chien_sellerie,200
Colliers,cat_chien_sellerie_colliers,cat_chien_sellerie,220
Accessoires divers,cat_chien_sellerie_accessoires_divers,cat_chien_sellerie,240
Bijoux,cat_chien_sellerie_bijoux,cat_chien_sellerie,260
Medailles,cat_chien_sellerie_medailles,cat_chien_sellerie,280
Paniers,cat_chien_coussinerie_paniers,cat_chien_coussinerie,300
Coussins,cat_chien_coussinerie_coussins,cat_chien_coussinerie,320
Tipi - Igloo,cat_chien_coussinerie_tipi_igloo,cat_chien_coussinerie,340
Meuble panier,cat_chien_coussinerie_meuble_panier,cat_chien_coussinerie,360
Plaids,cat_chien_coussinerie_plaids,cat_chien_coussinerie,380
Accessoires voiture,cat_chien_transport_accessoires_voiture,cat_chien_transport,400
Sacs a main,cat_chien_transport_sacs_a_main,cat_chien_transport,420
Sacs a dos,cat_chien_transport_sacs_a_dos,cat_chien_transport,440
Pousettes,cat_chien_transport_pousettes,cat_chien_transport,460
Cages de maison,cat_chien_cage_cages_de_maison,cat_chien_cage,480
Enclos - Parc,cat_chien_cage_enclos_parc,cat_chien_cage,500
Cage de transport speciale voiture,cat_chien_cage_cage_de_transport_speciale_voiture,cat_chien_cage,520
Cage de transport speciale avion,cat_chien_cage_cage_de_transport_speciale_avion,cat_chien_cage,540
